Women Suffering from Fistula,,,,,,,,,,
,1Percentage of ever married women aged 15-64 years suffering from fistula,,,,,How did the problem start,,,Received Treatment,Number of ever married women suffering Fistula
,Percentage Women suffering Fistula,Percentage Women by type of Fistula symptoms,,,Number of  ever married women,After difficult childbirt ,after rape/sexual assault,Other ,,
,,Dribbling of urine,Stool coming from vagina,Both dribbling of urine and stool from vagina ,,,,,,
Punjab,2.9,2.2,0.4,0.3,"22,398",82.8,15.2,1.9,48.8,644
Area of residence,,,,,,,,,,
Rural,3.4,2.6,0.4,0.4,"13,921",85.3,12.5,2.2,47.6,467
All Urban,2.1,1.5,0.3,0.2,"8,477",76.3,22.4,1.3,52,178
Major Cities,1.4,1,0.4,0.1,"4,973",61.4,38.6,0,33.9,71
Other Urban,3.1,2.4,0.2,0.4,"3,504",86.1,11.7,2.2,64,107
Age ,,,,,,,,,,
15-19,1.6,1.2,0.3,0.1,432,77.8,15.5,6.7,84.5,7
20-24,1.7,1,0.3,0.3,"2,008",78.2,16,5.8,48.9,33
25-29,2.5,2,0.4,0.2,"3,550",80.8,16.7,2.4,45.9,90
30-34,3.2,2.4,0.5,0.3,"3,950",80.8,18.3,0.9,35.9,126
35-39,3.1,2.4,0.3,0.4,"4,169",84.9,13.4,1.7,50.7,129
40-44,3.6,2.7,0.5,0.5,"2,746",77.6,21.3,1,46.1,98
45-49,3.2,2.2,0.4,0.6,"2,058",82.7,15.1,2.2,58.4,66
50-54,2,1.4,0.4,0.2,"1,630",86.2,10.2,3.6,53.6,33
55-59,3.4,2.9,0.1,0.4,"1,020",97.8,1.8,0.4,65.2,34
60- 64,3.3,2.9,0,0.5,837,92,5.3,2.7,59.4,28
Marital Status,,,,,,,,,,
Married,2.9,2.2,0.4,0.3,"20,790",82.9,15.1,2,48,608
Currently Married,2.3,1.7,0.1,0.5,"1,608",82,16.7,1.4,61.5,36
Education,,,,,,,,,,
None/pre-school,3.2,2.4,0.4,0.4,"12,203",85.8,12.8,1.3,46.1,394
Primary,2.9,2.4,0.3,0.1,"3,335",80.3,15.8,3.9,53.6,97
Middle,2.7,2,0.3,0.4,"1,897",78.9,20.2,1,60,52
Secondary,2.3,1.6,0.5,0.2,"2,542",74.7,20.1,5.1,45.1,58
Higher,1.8,1.2,0.3,0.3,"2,421",76.9,23.1,0,54.4,44
Employment Status,,,,,,,,,,
Employed,3.2,2.3,0.4,0.5,"7,479",83.4,16,0.6,39.9,243
unemployed,4,3.1,0.1,0.8,903,71.1,22.4,6.5,64.8,36
