District,Ind1,Ind2,Ind3
Bahawalpur,29.64653778,81.68824005,48.18729401
Bahawalnagar,13.55881882,84.49810028,37.64417267
RY Khan,21.69398499,91.49382019,27.26366425
DG Khan,54.6876297,81.39632416,28.98210907
Layyah,36.42120361,83.29984283,50.97702026
Muzaffargarh,17.46041489,88.53239441,36.38237381
Rajanpur,30.73468781,88.65048218,43.20771027
Faisalabad,54.30713654,78.90422058,52.68706894
Chiniot,50.63054276,75.4916687,49.90949249
Jhang,27.82245827,87.98197174,46.97610092
TT Singh,58.15639496,83.82798004,38.2501297
Gujranwala,49.72234726,70.06084442,52.05634308
Gujrat,61.10951996,74.97407532,58.73483276
Hafizabad,56.01741028,80.06641388,61.48636246
Mandi Bahauddin,39.83383942,82.60196686,43.5469017
Narowal,31.30204201,80.09227753,34.50397491
Sialkot,71.27783966,84.46087646,60.75551987
Lahore,39.07811737,75.54354095,56.81309891
Kasur,24.49132156,77.5717392,39.64933014
Nankana Sahib,43.32983017,79.16471863,47.1458168
Sheikhupura,54.70598602,80.67739868,42.66162872
Multan,36.11117935,86.99919891,24.20564651
Khanewal,35.9788475,80.37805176,45.05490112
Lodhran,42.49337006,86.04196167,20.49735641
Vehari,36.83308029,86.1516037,31.42362785
Rawalpindi,53.81361389,85.01271057,55.93297577
Attock,60.8514595,85.1700592,68.58477783
Chakwal,42.86366653,79.75933075,58.79550171
Jhelum,52.09807968,87.61634827,48.40496063
Sahiwal,33.49654388,80.35733795,38.26709747
Okara,34.65008163,80.86945343,46.53687286
Pakpattan,47.2427063,80.35921478,45.92498398
Sargodha,55.06694794,80.88552856,59.55596161
Bhakkar,15.83919907,88.99971008,42.95904922
Khushab,54.98370743,91.26242065,42.36249542
Mianwali,49.54959869,75.64827728,45.63965607
