Seeking Help against Violence														
			Seeking Help against Violence											
			% of Women who experience physical/sexual violence in the past 12 months and who sought help from:											
	Percentage of Women who experienced violence 	Number of women	"a)
Police"	"b)
Hospital or health center"	"c)
Social services"	"d)
Legal advice centre"	"e)
Court"	"f)
Shelter (e.g. Dar-ul-Aman etc.)"	"g)
Local leader (e.g. numbardar)"	"h)
Women's organization"	"i)
Religious leader"	"x)
Anywhere else"	Proportion of women who sought help	Number of women who experienced violence
Punjab	10.1	"29,020"	1.9	1.4	0.1	0.3	0.8	0.1	0.6	0.0	0.1	0.2	4.1	"2,923"
Area of residence														
Rural	10.9	"17,823"	1.9	1.4	0.2	0.4	0.9	0.1	0.8	0.0	0.1	0.2	4.1	"1,948"
All Urban	8.7	"11,197"	1.9	1.3	0.0	0.3	0.6	0.0	0.4	0.0	0.1	0.2	4.1	976
Major Cities	8.9	"6,565"	2.4	1.8	0.0	0.0	0.5	0.0	0.6	0.0	0.0	0.4	4.8	582
Other Urban	8.5	"4,632"	1.3	0.5	0.0	0.6	0.9	0.1	0.1	0.0	0.2	0.0	3.0	394
Age 														
15-19	10.2	"3,995"	1.8	0.5	0.2	0.2	1.3	0.2	0.6	0.0	0.3	0.1	3.6	409
20-24	10.3	"3,994"	0.8	0.9	0.0	0.0	0.6	0.0	1.5	0.0	0.1	0.4	4.0	411
25-29	12.0	"4,281"	1.5	1.0	0.0	0.4	1.1	0.2	0.4	0.0	0.1	0.0	2.7	515
30-34	11.1	"4,120"	2.3	1.6	0.1	1.1	0.6	0.0	0.9	0.0	0.1	0.4	5.2	457
35-39	12.5	"4,241"	2.5	1.9	0.0	0.3	0.8	0.2	0.3	0.0	0.0	0.5	4.4	529
40-44	9.9	"2,781"	2.3	0.8	0.0	0.1	0.0	0.0	0.9	0.0	0.0	0.0	3.9	274
45-49	7.3	"2,083"	0.9	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	151
50-54	4.9	"1,645"	0.0	4.5	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	6.1	80
55-59	6.0	"1,035"	9.7	6.0	3.6	0.0	4.4	0.0	0.0	0.0	0.2	0.0	13.5	62
60-64	4.1	845	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	35
Marital Status														
Never Married	7.6	"6,622"	0.8	0.7	0.2	0.0	0.1	0.0	0.4	0.0	0.0	0.1	1.7	500
Currently Married	11.3	"20,790"	1.9	1.5	0.1	0.3	0.7	0.1	0.5	0.0	0.1	0.2	4.0	"2,345"
Widow/Divorced/Separated	4.9	"1,608"	8.7	1.8	0.0	3.7	8.7	0.0	5.9	0.0	0.0	0.9	20.9	78
Education														
None/pre-school	11.7	"13,644"	2.3	1.1	0.2	0.4	0.9	0.0	0.6	0.0	0.1	0.3	4.4	"1,593"
Primary	10.4	"4,323"	2.1	2.4	0.0	0.2	1.0	0.1	1.1	0.0	0.1	0.5	4.8	448
Middle	10.5	"3,036"	2.3	1.3	0.0	0.0	1.0	0.6	1.2	0.0	0.0	0.0	5.0	317
Secondary	7.5	"4,057"	0.3	0.8	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	1.1	302
Higher	6.6	"3,961"	0.8	2.1	0.0	0.6	0.7	0.0	0.0	0.0	0.0	0.0	3.1	262
Employment Status														
Employed	12.5	"9,382"	1.7	1.3	0.1	0.3	0.7	0.2	1.0	0.0	0.1	0.3	4.4	"1,175"
Unemployed	11.1	"1,151"	2.7	2.9	1.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	5.7	128
Inactive	8.8	"18,487"	2.0	1.3	0.1	0.4	1.0	0.1	0.4	0.0	0.1	0.2	3.7	"1,621"
Disability														
Without disability 	10.0	"27,455"	1.8	1.3	0.1	0.3	0.9	0.1	0.7	0.0	0.1	0.2	4.0	"2,752"
With disability 	11.0	"1,565"	3.4	2.3	0.0	0.2	0.4	0.0	0.0	0.0	0.0	0.0	4.8	172
Wealth Quantiles														
Poorest	14.3	"5,656"	1.9	1.4	0.2	0.4	0.7	0.1	1.1	0.0	0.1	0.1	3.7	807
Poorer	11.3	"5,745"	2.2	1.0	0.0	0.6	1.5	0.1	0.5	0.0	0.3	0.1	4.4	650
Middle	9.9	"5,809"	1.8	1.6	0.4	0.0	0.3	0.2	0.6	0.0	0.1	0.6	4.2	577
Richer	7.9	"5,792"	2.6	1.0	0.0	0.2	0.6	0.0	0.0	0.0	0.0	0.0	3.8	459
Richest 	7.2	"6,018"	0.9	2.0	0.0	0.4	1.1	0.2	0.8	0.0	0.0	0.5	4.4	431
Districts														
Bahawalpur	11.4	961	2.9	1.6	0.0	1.0	2.0	0.0	1.9	0.0	0.0	0.0	4.2	109
Bahawalnagar	14.7	768	3.0	1.4	0.0	0.6	0.6	0.0	0.5	0.0	0.5	0.0	4.0	113
RY Khan	5.7	"1,146"	6.3	2.7	0.0	0.0	3.7	0.0	0.0	0.0	0.0	2.7	9.0	65
DG Khan	13.9	733	1.4	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	2.5	102
Layyah	14.0	503	0.8	0.8	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	2.8	70
Muzaffargarh	9.8	"1,115"	2.6	1.3	0.0	0.9	0.0	0.0	1.4	0.0	0.0	0.0	5.0	110
Rajanpur	10.8	325	2.4	3.6	0.0	2.8	2.0	0.0	0.0	0.0	0.4	0.0	5.2	35
Faisalabad	5.3	"2,410"	0.0	2.9	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	4.5	127
Chiniot	14.3	360	5.1	1.2	0.0	1.0	3.9	1.0	0.2	0.0	1.1	0.0	7.6	52
Jhang	19.9	667	1.9	2.6	2.3	0.0	2.3	0.0	0.8	0.0	0.0	0.0	4.9	133
TT Singh	9.3	602	1.8	1.9	0.0	1.1	1.1	0.0	0.0	0.0	0.0	1.2	6.0	56
Gujranwala	21.9	"1,350"	2.6	1.9	0.0	0.0	0.9	0.0	1.2	0.0	0.0	0.0	5.8	296
Gujrat	7.2	829	5.0	3.3	0.0	0.0	3.7	0.0	0.0	0.0	0.0	0.0	6.4	60
Hafizabad	6.9	273	1.2	5.1	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	8.3	19
Mandi Bahauddin	10.1	395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40
Narowal	12.9	426	2.3	0.6	1.2	0.0	0.0	1.6	1.2	0.0	0.0	0.0	5.8	55
